PERMNO,CUSIP,TICKER_CRDS,TICKER,Unnamed: 4
14164,77311110,FUEL,FUEL,
14166,62945V10,NVEE,NVEE,
14167,46583P10,OPHT,OPHT,
14167,46583P10,ISEE,ISEE,
14168,70338P10,PEGI,PEGI,
14174,81734P20,SQBG,SQBG,
14175,20368X10,TCFC,TCFC,
14176,00434H10,XLRN,XLRN,
14177,57538510,DOOR,DOOR,
14178,00162Q78,RIGS,RIGS,
14179,03674X10,AR,AR,
14182,12201710,BURL,BURL,
14183,16465110,CHMI,CHMI,
14184,19828720,CXP,CXP,
14185,21676P10,CPS,CPS,
14196,29210410,ESRT,ESRT,
14198,3265720,ALOG,ALOG,
14213,56632410,MMI,MMI,
14217,74348A46,NOBL,NOBL,
14220,74736A10,QTS,QTS,
14221,75524W10,RMAX,RMAX,
14227,3274410,ANEN,ANEN,
14229,68268W10,LEAF,LEAF,
14229,68268W10,OMF,OMF,
14230,86181Q30,SGM,SGM,
14235,G3198U10,ESNT,ESNT,
14237,762430,ADXS,ADXS,
14238,00771V10,AERI,AERI,
14244,29272B10,EIGI,EIGI,
14245,31189P10,FATE,FATE,
14247,30281V10,FTD,FTD,
14256,50185U10,LDRH,LDRH,
14257,55609910,MGNX,MGNX,
14258,73754Y10,PBPB,PBPB,
14260,86881L10,SCAI,SCAI,
14262,83587F20,SRNE,SRNE,
14263,92337F10,VCYT,VCYT,
14266,02554F30,AMZG,AMZG,
14268,10482B10,BHR,BHR,
14271,6832310,CUDA,CUDA,
14273,16309210,CHGG,CHGG,
14274,21075110,TCS,TCS,
14276,27746140,KODK,EKDKQ,
14289,53012L10,LBMH,LBMH,
14290,57767510,MVNR,MVNR,
14292,65557Y10,NCFT,NCFT,
14295,90184L10,TWTR,TWTR,
14296,92719W20,VNCE,VNCE,
14297,G0176J10,ALLE,ALLE,
14298,G1190F10,BCRH,BCRH,
14299,G3788M11,ESGC,ESGC,
14304,12768T10,CACQ,CACQ,
14305,15089R10,CPXX,CPXX,
14310,31931U10,FRBA,FRBA,
14312,44157R10,HMHC,HMHC,
14316,48576U10,KPTI,KPTI,
14317,50187T10,LGIH,LGIH,
14318,62920930,NMIH,NMIH,
14319,G6855A10,OXFD,OXFD,
14321,75953110,RLYP,RLYP,
14323,3442510,ANDW,ANDW,
14325,87537220,TNDM,TNDM,
14326,M9806810,WIX,WIX,
14327,98977410,ZU,ZU,
14328,00165C10,AMC,AMC,
14334,14912Y20,CTT,CTT,
14336,29267170,UUUU,UUUU,
14337,31578510,FGL,FGL,
14340,65440R10,NMBL,NMBL,
